Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
findLargestPaths All/flat/100 - Sync,8.235436536367857e-4,8.09419150987769e-4,8.346090300879469e-4,3.9752777433255916e-5,3.368812250229907e-5,4.964209479631707e-5
findLargestPaths All/flat/100 - Async,8.312492136846171e-4,8.184047081909477e-4,8.476454291162184e-4,5.042084335188255e-5,4.064337596075867e-5,6.22302761670703e-5
findLargestPaths All/flat/100 - AsyncPool,6.562403103340923e-4,6.430403343213603e-4,6.676265182149292e-4,4.169426538008061e-5,3.646640141000341e-5,4.9905806874446344e-5
findLargestPaths All/flat/1_000 - Sync,1.2449812934410682e-2,1.2118593357124334e-2,1.308942713216456e-2,1.198661234799658e-3,7.089457801603113e-4,2.236476283259101e-3
findLargestPaths All/flat/1_000 - Async,6.534060265030589e-3,6.453884165134304e-3,6.610881530815707e-3,2.2580577085713337e-4,1.781991696225979e-4,2.75236273534196e-4
findLargestPaths All/flat/1_000 - AsyncPool,5.507912197290372e-3,5.401494815356836e-3,5.6435729286595845e-3,3.75008083248604e-4,2.7731951004327876e-4,4.998374715524682e-4
findLargestPaths All/flat/10_000 - Sync,0.15315636051736317,0.1458529725765699,0.1578697464643223,8.727398971682088e-3,3.039182769115782e-3,1.407646884767637e-2
findLargestPaths All/flat/10_000 - Async,0.12810405672473288,0.12459682713316625,0.1312985122685189,5.587561434817894e-3,3.599467037982388e-3,7.576908590234447e-3
findLargestPaths All/flat/10_000 - AsyncPool,9.593335441849007e-2,9.336016068383232e-2,9.914937716067795e-2,4.646834427045879e-3,3.036123924569015e-3,7.834241317084404e-3
findLargestPaths All/sparse/d=6 - Sync,0.10737477412292666,0.10410480418473747,0.11306009714135208,6.864522760701576e-3,2.920936674219869e-3,9.98874070761564e-3
findLargestPaths All/sparse/d=6 - Async,6.605158446938549e-2,6.299895899669812e-2,6.767430348103766e-2,3.979267523570863e-3,2.0985609364026717e-3,6.020096187785453e-3
findLargestPaths All/sparse/d=6 - AsyncPool,5.566579639017286e-2,5.4904170129085134e-2,5.608650642686392e-2,9.965995469919755e-4,7.530731812732922e-4,1.4257303303033477e-3
findLargestPaths All/sparse/d=8 - Sync,0.4974732204585166,0.46595529366675237,0.523909693333735,3.840055679169138e-2,2.3112676249979813e-2,4.609931436085897e-2
findLargestPaths All/sparse/d=8 - Async,0.33458681820818964,0.32768620424974415,0.34666217512489084,1.1516983689554549e-2,1.985009833257806e-3,1.4607709190533917e-2
findLargestPaths All/sparse/d=8 - AsyncPool,0.2517804982567638,0.25009841923016213,0.2548223110167479,3.2616753892163422e-3,1.7522247001934207e-4,4.4496448185782364e-3
findLargestPaths All/sparse/d=10 - Sync,2.2561412301665578,2.1902655602497703,2.2984040967498913,7.091471644892257e-2,3.965080549994582e-2,8.902094730313166e-2
findLargestPaths All/sparse/d=10 - Async,1.8684826430832875,1.598432798750082,2.139332666499854,0.30650454498375973,9.484949083328809e-2,0.4163849123332852
findLargestPaths All/sparse/d=10 - AsyncPool,1.1154003397917147,1.0973928550417138,1.126941802166736,1.9311281086657018e-2,1.0150880000082907e-2,2.665386563624167e-2
findLargestPaths All/dense/d=6 - Sync,0.2299747770000118,0.2152252183055882,0.24418576941666792,2.183741185082069e-2,1.3483671703549967e-2,2.9855378322019156e-2
findLargestPaths All/dense/d=6 - Async,0.14255487927317134,0.13195012021430688,0.15550011054218804,1.6024800938846572e-2,1.1010229443804462e-2,1.9616149981034947e-2
findLargestPaths All/dense/d=6 - AsyncPool,0.10830915995176242,0.10727825624261456,0.10943860844448257,1.6389254994153939e-3,9.544678444855969e-4,2.3044106542402876e-3
findLargestPaths All/dense/d=8 - Sync,0.9558543961874761,0.9480015960626247,0.9607672155000273,7.641527751656936e-3,2.0988587536715083e-3,1.0117061908786383e-2
findLargestPaths All/dense/d=8 - Async,0.6398000355623594,0.6226858213120181,0.6622226300624448,2.2190879712456542e-2,7.87055600039821e-3,3.04354495666101e-2
findLargestPaths All/dense/d=8 - AsyncPool,0.4619588537291672,0.4519426842293039,0.4732243883748879,1.1603683924149032e-2,5.666450958263652e-3,1.6279845906647175e-2
findLargestPaths All/dense/d=10 - Sync,4.248188043437456,4.136652975749826,4.352690327375058,0.12188981652679481,0.10368656187514125,0.13785227659422836
findLargestPaths All/dense/d=10 - Async,3.338441950208202,3.163814694749874,3.533243025916666,0.25183758533248574,0.1275298912583704,0.32484843172146244
findLargestPaths All/dense/d=10 - AsyncPool,2.098959623708197,2.070605268416557,2.143720547499811,4.332883282270618e-2,1.1464760916851446e-2,5.830464560206822e-2
takeLargestN/1,4.19552773954166,3.8964863187500214,4.358084743499944,0.3140542652169669,0.26397491257299205,0.3553386330491668
takeLargestN/10,4.0201034135001805,3.8172908605001794,4.107101278625294,0.1460511788246824,5.4273115750334e-2,0.2009129633956272
takeLargestN/100,4.861110113083233,4.774006429124768,4.999076215208068,0.1369959352390241,5.104350939408364e-3,0.1749602524219961
takeLargestN/1_000,4.8031088922707,4.6891163406874625,4.905753691937264,0.1335535683649336,6.934211162490556e-2,0.16676751074746698
displayPathSize/d=6,0.3836644796872406,0.35556335162482355,0.42685830137452285,4.0906162874537876e-2,4.412124374994164e-3,5.2423270352563195e-2
displayPathSize/d=8,1.42987206350017,1.3514886122505914,1.5502239642499944,0.11357174514842899,1.0536404995491466e-3,0.13957872421683226
displayPathSize/d=10,6.259052840499881,6.177506942749915,6.357711341000083,0.10521257908454006,4.558209164024033e-2,0.14494702314906016
