Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.findLargestPaths All.flat.100 - Sync,9863281250,889186406,9119224,200158,26214400
"All.findLargestPaths All.flat.1,000 - Sync",105859375000,8860419360,93795106,3850887,26214400
"All.findLargestPaths All.flat.10,000 - Sync",1095312500000,35441677442,961851476,45436009,67108864
All.findLargestPaths All.sparse.d=6 - Sync,809375000000,28453965012,760324273,31344256,67108864
All.findLargestPaths All.sparse.d=8 - Sync,3625000000000,112809629464,3265502659,138330302,185597952
All.findLargestPaths All.sparse.d=10 - Sync,15187500000000,1021212245324,14088165030,599867190,768606208
All.findLargestPaths All.dense.d=6 - Sync,1603125000000,56907930026,1424116921,60939024,768606208
All.findLargestPaths All.dense.d=8 - Sync,7012500000000,364367276932,6165607286,268491078,768606208
All.findLargestPaths All.dense.d=10 - Sync,29250000000000,1650106363994,26700834199,1154963128,1339031552
All.takeLargestN.1,29040625000000,867482571870,26669225785,1134180811,1411383296
All.takeLargestN.10,28600000000000,378342701792,26669224968,1133977952,1411383296
All.takeLargestN.100,28909375000000,84858779746,26669230039,1133930660,1411383296
"All.takeLargestN.1,000",29081250000000,979285970746,26669264000,1133784084,1411383296
All.displayPathSize.d=6,1654687500000,42429389872,1554844153,71982969,1411383296
All.displayPathSize.d=8,7340625000000,154735904042,6699255464,313740568,1411383296
All.displayPathSize.d=10,30965625000000,294490152636,28848770468,1340785356,1411383296
